attendance,study_hours,previous_marks,assignment_score,internal_marks,final_score
90.39,5.76,35.91,84.71,78.04,75.27
94.0,8.3,63.46,60.28,69.93,82.52
61.21,7.62,34.15,61.08,80.7,71.71
54.21,6.97,53.17,47.12,34.83,54.2
86.83,2.02,69.07,48.81,50.71,54.93
56.49,7.49,66.15,51.15,50.76,66.73
89.36,5.5,56.3,59.69,51.43,63.97
65.42,9.05,57.89,93.52,62.66,81.39
80.05,9.28,44.74,62.1,48.4,73.21
45.73,1.5,59.63,83.46,58.88,57.5
77.43,8.39,91.96,44.96,53.91,74.7
67.11,1.34,85.28,75.47,77.79,71.72
75.2,4.3,39.44,68.91,69.23,65.56
50.08,5.88,31.94,98.68,72.49,72.12
84.21,2.33,90.68,90.77,43.69,63.32
91.77,7.72,64.24,67.29,51.16,75.38
53.0,1.08,64.96,86.51,31.38,52.04
45.74,2.52,80.75,51.58,37.04,54.14
41.42,6.23,50.45,73.74,47.23,57.87
78.52,7.43,61.32,44.48,34.26,64.2
76.43,9.25,92.96,60.89,69.17,89.4
72.8,7.35,73.69,53.55,94.88,79.17
53.92,7.05,39.99,83.13,36.55,62.26
63.45,4.55,38.66,69.41,83.38,68.76
75.67,1.01,43.28,85.06,37.72,50.21
69.81,2.08,79.84,70.92,73.54,66.91
99.27,5.81,49.2,45.19,71.81,71.17
48.19,7.08,31.39,84.12,88.68,73.4
81.71,4.76,91.37,89.99,37.41,71.22
64.26,7.58,41.03,94.21,50.5,72.41
65.69,5.7,30.62,74.32,35.9,59.37
83.06,1.67,45.41,85.22,56.48,60.78
81.55,2.73,45.28,85.12,89.25,72.18
99.48,8.56,57.43,49.34,80.8,80.88
47.7,7.52,89.83,49.85,76.99,74.97
46.25,9.05,87.15,44.25,64.65,77.46
83.46,2.06,59.7,59.19,87.43,67.37
74.7,9.91,56.71,68.41,59.21,81.07
56.45,2.88,66.08,99.87,39.73,60.12
44.77,1.11,45.82,65.86,84.44,55.86
45.14,9.98,33.39,83.57,48.18,70.41
93.65,3.53,91.05,81.6,33.49,67.3
51.51,7.01,42.14,52.27,38.19,53.18
59.4,2.59,42.9,43.51,69.59,57.18
53.6,6.22,60.71,72.76,69.46,69.87
61.3,9.14,61.95,82.02,46.91,76.77
44.17,3.88,31.2,99.9,77.27,67.41
71.14,7.03,39.62,61.52,80.29,70.04
44.06,2.69,54.58,93.78,89.83,67.95
88.02,6.62,74.44,62.92,68.02,77.03
54.02,4.03,44.85,81.36,80.66,65.89
72.4,2.9,57.5,75.9,78.95,71.93
92.8,3.82,66.23,43.18,46.76,58.98
79.05,2.61,87.76,44.7,50.16,61.7
71.98,9.12,51.19,41.25,61.1,71.44
59.46,4.57,38.68,62.25,31.24,50.43
59.98,3.21,61.8,84.75,49.33,61.21
80.17,5.04,78.54,50.37,60.8,71.12
99.65,3.88,37.14,76.35,37.02,56.8
79.71,7.7,57.6,57.33,38.21,69.11
73.47,9.74,31.16,87.82,60.11,74.63
83.84,4.94,32.18,87.9,77.51,73.76
67.91,8.75,61.39,86.52,84.19,84.09
43.61,6.09,49.38,71.49,65.51,64.96
73.74,2.42,84.93,57.07,60.86,63.96
97.46,7.22,69.14,88.57,54.98,79.73
50.52,5.62,59.51,51.17,42.54,56.16
81.4,6.86,56.52,57.39,39.53,61.23
52.06,9.01,62.32,51.04,81.47,75.47
72.15,4.96,32.63,80.45,60.23,64.9
45.8,9.11,88.03,81.17,81.37,87.96
67.02,7.76,94.89,79.15,75.77,85.61
85.37,5.4,41.8,64.94,42.6,63.08
60.85,6.43,37.82,46.01,63.17,58.48
79.89,3.93,39.33,94.67,58.86,65.54
87.73,9.85,72.97,70.46,57.55,82.72
95.63,7.01,72.99,64.42,65.27,80.16
54.08,1.39,85.12,75.33,93.84,71.93
63.96,3.94,78.87,51.57,82.84,70.17
49.14,6.61,59.23,47.95,88.74,68.27
99.55,1.51,69.84,64.33,31.93,56.85
95.62,1.21,74.74,53.63,39.12,54.34
72.4,5.05,63.33,54.66,35.51,57.97
90.52,3.99,60.92,93.55,47.11,67.08
71.26,4.94,71.93,71.85,58.72,67.6
77.42,3.36,66.24,69.01,71.73,71.58
45.35,2.48,71.86,81.37,62.55,58.87
85.32,7.2,69.84,97.09,88.71,88.69
47.66,5.63,76.75,46.73,91.09,76.21
89.56,2.8,71.78,90.01,40.63,66.26
86.92,3.88,63.78,75.04,85.44,75.48
82.52,6.33,74.32,48.77,61.31,73.71
42.17,1.65,59.22,57.83,59.47,52.6
58.19,2.33,45.71,68.94,81.02,62.25
55.79,1.66,30.09,81.47,36.05,46.1
61.61,8.31,66.4,54.56,87.36,81.35
45.26,7.77,68.39,72.09,73.61,77.4
96.22,7.78,93.18,81.08,86.89,99.19
73.23,7.45,53.5,66.92,94.64,81.7
58.33,7.02,55.62,91.78,63.67,74.55
63.82,5.29,43.12,92.17,36.06,58.2
66.83,6.78,34.58,68.24,40.82,59.68
76.04,1.35,80.23,98.38,51.04,69.54
70.94,6.59,46.23,44.54,36.73,58.26
95.16,8.0,69.58,40.2,83.0,80.04
69.82,5.5,74.71,62.84,49.3,66.58
99.53,4.22,60.63,76.07,93.43,78.26
91.09,3.5,86.96,77.75,75.67,76.12
52.51,6.79,58.85,68.59,41.27,63.02
95.84,7.24,48.52,47.49,60.94,68.97
46.98,8.84,88.24,50.23,60.35,72.86
89.05,4.08,86.0,91.13,62.01,78.57
62.84,7.93,40.66,92.07,64.82,75.08
92.68,6.05,31.69,80.43,32.03,57.92
92.08,8.95,35.85,79.85,74.61,77.56
88.36,5.75,48.63,75.86,61.67,69.89
87.4,5.66,93.2,52.18,81.41,77.58
58.28,6.2,66.3,65.7,83.0,71.8
44.86,7.74,54.26,81.75,44.98,69.03
64.18,9.68,87.77,72.24,33.15,75.58
50.41,1.66,59.45,41.11,75.71,54.01
81.7,1.48,50.49,97.21,93.55,73.18
60.77,9.44,91.18,90.69,59.03,84.52
98.54,5.77,85.22,55.63,46.87,72.26
78.46,6.53,84.84,76.99,40.18,72.25
89.35,5.34,63.3,95.39,48.68,71.58
47.95,1.84,81.31,45.76,51.31,51.38
91.72,7.91,41.66,70.18,57.55,70.71
95.37,7.73,67.26,67.37,72.6,81.52
69.22,3.81,93.95,64.61,47.76,65.47
76.38,3.76,48.91,90.14,33.31,57.8
85.89,8.54,81.63,62.84,54.26,79.52
50.49,1.65,61.88,43.82,85.62,58.37
70.15,8.93,32.59,43.95,62.39,67.33
63.92,3.31,79.6,42.56,92.71,71.99
48.78,6.34,40.96,64.55,62.74,64.28
62.05,9.42,71.05,83.1,47.93,79.98
44.09,7.1,35.57,52.22,42.57,53.0
41.55,4.73,91.55,78.79,75.14,73.65
48.11,7.21,48.96,81.23,64.86,72.04
97.79,4.1,44.72,55.31,69.26,67.05
72.97,3.5,38.39,76.03,79.08,64.95
97.95,9.97,91.49,81.09,77.18,98.51
65.95,7.76,76.27,68.0,32.82,66.11
58.71,6.8,78.21,60.2,82.17,79.1
70.37,4.2,62.46,77.15,64.63,68.31
66.37,1.44,60.86,98.67,55.46,59.33
46.34,1.28,37.15,65.61,64.94,49.32
78.45,5.99,66.39,63.5,69.81,78.03
52.96,7.86,46.05,67.86,39.72,62.7
77.18,5.84,93.51,44.57,57.13,75.53
79.01,8.57,81.78,73.19,51.81,76.93
49.12,1.3,56.84,59.72,52.78,51.27
43.68,4.3,39.84,47.29,35.94,40.44
86.85,3.13,81.05,67.98,40.39,62.78
67.59,5.03,37.93,40.2,40.52,51.76
43.49,1.65,42.31,64.11,54.26,49.89
99.69,9.59,43.75,46.34,88.14,81.79
43.47,3.01,66.2,41.46,43.39,50.67
81.7,9.3,81.16,89.47,57.05,85.68
99.02,4.83,50.43,94.97,50.25,70.75
54.35,9.87,35.5,52.46,81.18,73.91
48.53,5.99,60.2,72.36,33.26,56.47
47.28,9.38,78.63,56.68,42.78,73.58
58.2,1.05,44.41,69.61,43.69,47.36
46.06,7.73,44.3,66.2,94.54,78.87
81.53,9.13,91.57,56.14,67.1,86.82
43.74,2.26,92.02,82.02,39.03,56.79
70.57,1.87,94.38,47.59,47.69,60.39
99.8,4.82,82.5,43.18,40.91,65.44
88.84,9.4,42.23,86.06,38.1,71.83
76.91,5.88,43.78,79.96,81.82,76.43
58.38,5.75,52.11,69.91,62.22,64.16
77.43,2.27,50.68,68.07,71.03,65.56
71.62,1.01,92.17,69.84,51.53,62.76
65.57,8.29,81.29,66.22,65.99,79.72
47.84,1.79,77.06,63.57,46.74,56.33
93.2,6.7,42.09,69.98,50.02,64.99
66.99,9.23,89.12,71.71,72.4,85.51
51.68,2.88,83.81,81.51,39.77,59.44
62.07,6.99,40.64,82.67,70.12,76.95
64.85,1.71,86.63,62.66,85.4,67.34
89.65,6.43,47.7,64.81,37.83,59.96
84.02,2.48,35.26,62.42,88.33,61.95
86.16,7.62,72.69,72.19,35.16,73.31
40.66,3.71,72.5,67.2,52.68,57.93
64.97,5.17,36.17,93.38,69.68,69.17
68.88,6.39,50.73,81.78,66.36,74.24
41.15,2.54,94.53,93.92,36.27,60.78
55.59,7.67,74.1,82.55,81.93,83.83
85.62,3.72,77.45,98.26,93.25,86.33
48.23,6.96,43.84,78.14,41.78,60.7
72.12,2.42,35.12,97.81,88.18,69.58
52.91,7.19,48.0,49.49,66.19,65.75
40.73,2.15,46.18,43.15,90.84,58.34
54.47,4.83,45.25,74.75,41.45,55.1
98.55,3.22,42.53,99.01,81.48,69.54
88.09,7.74,67.36,65.06,33.89,70.57
97.57,3.36,51.33,52.72,87.41,71.92
69.27,8.94,83.32,71.29,73.82,86.21
46.58,9.03,41.96,78.93,54.07,70.5
72.88,2.77,60.2,58.91,42.38,53.26
67.26,6.52,30.89,82.89,83.07,75.07
90.66,1.79,61.31,98.51,69.21,72.51
45.88,4.52,33.63,93.82,53.43,59.81
69.29,7.42,93.55,57.5,58.85,81.79
49.0,6.93,81.39,59.6,83.73,74.86
59.48,6.62,61.86,62.29,52.03,66.24
84.24,3.54,35.63,63.67,35.83,49.75
68.56,4.4,68.51,46.02,89.23,72.72
62.55,1.93,79.32,85.72,55.18,60.61
63.67,7.47,42.4,61.92,52.65,62.22
67.57,5.53,66.93,92.79,43.29,67.63
87.1,7.38,82.92,95.62,88.33,94.25
93.53,3.24,79.94,41.47,44.14,58.46
97.32,3.92,82.19,99.31,71.38,80.94
87.21,4.01,87.16,82.6,87.25,82.87
58.92,1.23,90.95,71.22,32.27,53.54
81.29,4.07,56.36,63.37,83.87,74.45
66.26,8.23,66.97,71.11,56.69,76.51
55.28,9.08,81.39,59.48,72.77,80.35
90.45,5.66,75.31,77.36,54.21,78.71
42.31,5.1,94.71,45.58,75.21,70.7
94.11,1.28,30.89,77.27,46.53,50.97
67.69,8.91,53.08,56.52,31.43,64.29
78.23,1.12,48.27,41.06,91.61,60.95
79.56,9.5,47.05,73.16,31.06,67.67
93.71,5.4,44.46,74.71,83.57,74.36
78.2,4.08,76.09,65.59,40.99,62.74
76.84,9.32,35.51,44.34,55.49,66.72
44.0,1.22,78.2,93.6,83.46,72.01
71.1,6.23,75.07,76.69,43.39,71.09
49.01,5.94,46.3,46.94,86.27,65.45
84.25,2.97,46.43,70.66,62.35,63.04
70.73,4.86,70.88,69.84,53.8,69.58
80.81,6.87,79.54,43.62,73.06,73.06
42.5,7.54,86.97,76.41,52.19,71.51
45.09,1.01,85.39,88.5,52.57,59.82
82.98,9.43,92.72,84.94,77.68,94.93
44.33,2.48,67.79,52.18,50.14,51.78
44.28,3.1,89.06,91.74,43.05,62.85
40.73,3.37,82.55,60.55,82.5,67.25
97.39,1.34,88.15,96.79,82.35,80.42
84.25,2.11,30.76,44.3,62.34,53.89
61.2,9.88,92.78,69.17,64.23,84.58
57.79,3.84,60.78,75.83,75.24,73.04
60.98,2.04,81.88,54.86,63.1,64.45
86.48,1.96,38.27,86.28,57.11,62.57
79.68,7.48,55.74,77.61,94.67,86.97
51.11,8.69,47.64,41.09,39.6,63.03
50.45,3.31,48.96,76.5,68.53,60.91
45.9,1.19,38.01,69.49,87.58,55.97
79.62,3.01,82.37,51.76,74.67,67.64
85.86,1.51,30.6,99.74,87.26,66.89
55.9,1.93,50.31,93.83,51.86,57.84
41.26,4.88,41.34,57.55,47.68,53.07
44.93,3.07,68.29,72.46,85.33,68.57
98.07,5.64,46.53,58.99,55.62,66.58
57.73,3.28,46.83,86.53,76.13,66.64
86.15,9.46,61.74,95.82,39.6,83.44
77.48,9.15,72.42,61.53,79.13,86.27
62.92,6.1,37.88,88.34,65.68,71.48
52.34,4.19,41.41,69.9,47.46,55.21
47.28,4.43,46.07,63.79,62.14,55.55
76.9,4.71,93.29,96.31,75.3,80.19
86.48,7.55,55.81,70.62,30.77,70.53
78.63,5.06,68.93,68.04,71.44,72.21
71.82,8.71,45.7,80.35,65.2,76.08
42.52,9.5,61.88,55.67,44.32,67.43
98.11,4.02,34.82,59.49,78.94,68.41
87.92,6.05,32.26,95.92,49.72,70.22
57.57,1.86,60.47,80.71,48.0,59.47
98.8,2.8,55.91,89.6,60.63,72.11
76.11,4.72,38.9,56.27,73.95,62.81
74.95,2.86,74.69,72.63,90.37,76.9
84.88,8.89,94.54,98.28,39.19,84.51
88.71,2.42,55.72,59.12,55.77,58.78
79.39,5.1,70.6,49.63,34.35,56.82
47.69,6.45,92.59,70.65,79.31,76.33
60.3,7.23,84.05,63.27,59.1,74.25
95.69,4.45,60.13,49.57,75.95,68.29
53.48,8.82,77.94,93.31,50.94,81.46
62.33,6.11,38.33,99.44,84.88,77.08
65.92,4.96,63.29,74.11,64.76,69.81
66.36,1.61,48.14,86.48,91.33,71.04
76.78,5.18,40.48,91.54,35.12,58.44
96.58,8.39,57.71,82.06,63.43,81.0
54.44,6.53,38.52,42.65,79.82,65.03
47.29,8.49,75.43,49.46,69.01,74.62
51.85,5.45,59.66,44.26,31.51,53.85
93.22,2.07,64.52,40.59,93.2,69.87
78.75,1.12,39.51,58.36,49.39,49.2
57.15,3.73,39.09,63.54,46.2,52.89
88.96,7.28,67.92,54.46,61.57,75.15
91.68,8.11,94.03,43.88,65.24,78.24
90.79,3.66,36.26,71.79,79.81,68.01
95.14,5.46,48.57,56.4,55.56,66.08
55.13,4.79,86.51,87.76,58.6,73.6
85.3,4.69,34.7,40.48,64.77,57.14
67.63,3.08,86.93,90.55,55.64,67.49
90.52,2.23,64.08,97.29,89.45,77.79
83.71,2.77,56.54,82.97,85.33,76.92
86.59,1.5,50.13,84.02,59.57,59.8
79.37,2.78,49.31,96.01,30.01,59.27
50.65,1.08,49.88,52.54,88.56,60.52
72.7,6.65,87.51,99.67,38.08,76.48
99.08,3.85,77.05,86.41,45.89,69.59
96.24,9.76,73.53,83.59,39.9,83.26
42.59,2.74,81.92,61.67,41.69,54.85
49.89,4.11,46.71,72.75,82.19,64.59
47.9,4.22,70.17,79.24,67.67,66.6
83.56,1.08,59.9,77.22,92.15,71.21
89.07,8.55,80.86,82.3,45.04,82.75
52.81,1.29,50.1,44.94,61.57,47.98
70.35,9.46,71.81,61.34,93.53,88.75
90.44,9.03,87.34,66.04,83.72,93.27
83.97,5.82,56.14,55.64,77.36,72.36
72.53,5.89,34.33,50.36,42.28,54.63
75.42,6.88,63.54,48.34,80.01,73.38
70.5,4.48,52.49,61.98,52.59,58.9
57.85,6.83,73.69,69.61,64.48,79.09
73.9,1.4,91.82,43.78,69.6,62.19
81.33,1.49,61.56,96.79,69.61,71.21
92.4,5.12,60.3,85.91,77.22,82.44
78.18,5.95,72.55,83.85,73.01,79.42
85.67,8.99,36.73,50.37,34.44,63.81
49.6,1.94,46.48,76.23,59.73,54.96
67.69,8.4,89.73,71.78,73.16,82.18
40.56,2.89,73.55,98.95,49.24,59.48
54.8,4.55,30.87,84.86,50.35,57.94
83.59,3.85,43.3,74.55,38.1,56.31
99.51,4.6,74.38,91.05,57.21,80.46
45.95,2.35,79.69,49.31,94.14,66.34
64.09,5.53,84.59,40.91,48.55,67.01
88.0,8.21,48.99,81.41,64.54,78.21
52.24,4.97,90.52,45.9,78.31,74.86
73.31,5.42,65.94,46.93,30.88,57.4
83.98,8.64,75.28,84.68,88.53,93.87
76.96,7.35,68.79,56.23,55.13,70.44
51.28,5.41,37.98,77.72,86.49,71.46
61.32,3.32,92.6,95.04,32.53,68.17
87.03,8.96,37.99,58.99,39.47,66.4
73.25,6.19,46.57,53.03,50.96,60.99
40.31,2.99,82.89,46.39,52.46,54.62
85.66,3.42,70.21,47.83,85.11,73.78
42.12,8.23,84.48,43.73,30.73,63.46
84.74,1.4,63.52,45.26,71.67,62.36
52.15,9.93,54.5,65.92,38.54,68.92
97.48,2.17,89.92,59.25,83.51,75.01
62.08,8.16,32.36,82.39,80.61,77.69
59.62,4.55,85.65,92.21,62.49,76.78
48.93,5.43,45.0,87.09,43.82,59.98
58.34,8.93,85.17,71.84,71.24,86.59
92.6,4.72,39.05,46.15,40.16,55.51
99.78,5.84,67.71,82.59,42.35,67.52
62.1,1.44,87.73,61.77,70.73,65.8
66.92,1.02,60.78,45.14,94.43,59.56
83.32,3.2,78.53,90.55,87.92,82.41
93.17,7.13,82.3,60.29,68.55,82.69
75.58,2.09,77.87,53.09,65.0,62.91
63.49,2.02,90.15,92.29,94.9,80.62
64.76,4.7,59.04,94.13,65.58,73.97
81.74,6.83,41.25,60.34,57.31,65.86
40.19,7.41,33.11,61.29,89.12,71.76
77.18,2.61,46.02,74.78,45.22,58.15
61.33,1.72,39.31,84.01,36.34,52.59
87.65,9.46,66.27,43.79,71.22,77.96
45.58,3.35,42.02,75.6,36.23,50.42
75.29,8.68,32.53,97.17,54.25,73.29
68.86,8.77,32.34,55.73,57.53,65.12
78.54,7.95,84.05,94.53,65.59,87.77
43.89,2.52,68.44,97.01,94.46,74.47
74.8,8.4,53.28,56.15,44.36,69.7
73.69,7.92,88.12,85.25,54.42,81.16
73.64,6.37,34.56,54.33,38.6,56.06
76.21,4.03,93.72,84.26,69.49,78.37
80.59,3.36,70.06,87.85,77.3,73.54
88.3,2.1,41.93,54.83,61.33,54.8
56.19,5.59,74.14,82.95,45.98,69.85
89.5,6.27,79.62,88.73,70.36,82.78
69.9,4.23,57.91,61.51,65.05,66.82
44.62,5.28,86.01,50.06,41.13,60.66
43.51,4.27,39.8,45.52,56.37,48.08
60.05,6.77,48.12,74.52,58.29,69.01
87.09,9.11,36.08,98.69,93.87,92.0
82.46,2.48,43.71,89.38,85.2,71.59
87.32,4.43,45.52,66.15,77.73,69.54
71.04,2.27,89.65,72.2,87.77,73.15
66.41,6.62,35.08,56.77,77.81,70.92
48.85,7.56,57.78,49.78,88.72,74.15
59.69,9.39,64.61,68.92,33.55,67.43
66.04,3.51,88.42,67.81,59.64,68.73
45.32,9.55,94.85,71.32,78.55,85.99
53.24,1.57,78.97,97.17,67.91,65.61
75.89,6.43,93.1,76.23,41.39,72.99
84.14,1.51,81.16,76.35,52.13,62.21
99.9,9.04,92.61,47.68,50.66,79.02
95.99,5.77,75.97,99.79,46.99,79.69
78.55,7.02,35.18,86.37,52.3,69.1
65.27,8.48,56.12,92.63,63.47,82.29
78.17,2.35,72.03,64.86,85.57,68.94
87.14,1.35,52.8,70.13,78.23,61.05
47.1,8.91,47.77,71.33,84.29,78.74
64.59,3.83,67.53,51.65,87.43,73.04
90.39,2.16,90.68,81.37,57.05,71.55
63.03,5.22,32.27,94.18,52.49,69.97
74.31,6.38,80.0,49.82,33.75,63.85
75.27,1.28,76.98,45.18,90.48,66.54
51.07,3.47,92.66,84.29,34.28,57.7
61.73,1.3,90.5,56.39,78.17,66.19
60.07,4.78,79.55,77.43,54.58,69.07
41.57,9.06,63.83,81.75,91.67,84.69
41.45,9.84,43.28,59.31,57.27,68.24
89.9,6.73,65.44,88.91,83.08,85.97
56.38,2.45,79.75,73.0,48.37,59.28
71.08,9.15,88.22,92.14,49.44,88.62
57.92,5.65,81.33,85.8,68.71,76.11
96.44,2.38,42.69,92.11,94.87,76.18
55.56,9.3,68.98,41.21,63.64,71.91
65.78,7.82,51.59,54.61,90.86,79.48
92.36,7.59,30.6,45.4,81.11,72.72
90.52,7.38,43.01,66.52,81.73,77.89
51.17,2.8,37.36,93.4,58.34,54.48
88.16,2.9,84.78,68.05,55.13,68.07
67.49,7.19,46.8,90.98,42.47,67.78
68.98,2.98,48.51,59.63,92.66,67.1
48.01,4.95,92.4,60.37,92.36,75.47
44.84,8.04,54.64,93.73,78.56,82.93
83.68,8.06,30.62,65.55,49.26,68.43
69.79,5.08,48.45,87.39,45.94,66.98
66.21,8.13,37.75,54.2,94.26,79.22
83.77,8.55,36.68,96.93,34.33,72.15
85.93,6.89,35.04,74.47,84.83,75.18
49.53,3.06,68.56,85.56,53.1,65.52
76.61,3.47,42.31,45.37,57.23,53.02
48.12,3.83,53.48,69.56,84.08,66.09
85.08,2.05,86.03,94.06,35.89,66.09
79.42,3.46,57.58,92.62,53.02,68.02
97.4,2.89,89.52,42.81,91.88,77.01
44.14,5.1,62.37,58.22,75.44,65.32
43.42,9.18,55.92,66.6,79.07,76.47
56.93,1.94,78.78,50.34,79.24,68.05
55.7,7.48,34.76,83.8,33.94,60.87
54.82,7.19,35.82,51.07,43.21,56.22
94.38,1.86,72.38,60.8,61.93,62.59
54.97,9.3,61.65,79.8,53.93,76.45
56.32,6.12,81.38,68.93,56.71,71.22
85.56,4.27,89.56,84.31,80.79,82.49
66.98,7.81,55.24,97.67,30.95,70.2
86.6,3.32,68.77,46.99,72.93,69.85
43.92,7.24,62.55,82.57,30.01,61.52
69.25,1.36,93.8,53.82,34.1,53.63
42.02,8.55,84.02,64.87,56.54,73.12
43.76,5.03,89.26,41.97,84.66,71.37
94.39,6.73,46.53,48.15,39.42,60.61
48.35,2.99,80.21,59.19,66.05,61.37
71.95,7.09,47.26,60.52,74.1,69.38
64.67,7.95,43.57,93.98,44.92,70.76
60.84,5.26,91.38,84.51,63.3,77.3
93.99,6.56,31.25,98.33,89.24,86.91
41.31,5.11,92.75,75.94,63.29,72.64
79.83,9.05,39.7,54.5,40.23,64.61
97.8,5.48,83.26,59.66,70.81,75.48
73.61,8.58,47.93,59.19,68.49,72.02
96.21,8.21,52.8,59.59,31.75,64.37
43.14,4.69,44.09,80.38,35.89,57.61
65.13,3.07,68.06,71.85,40.19,58.06
55.61,4.65,52.63,63.13,38.86,53.61
83.85,8.44,72.73,48.95,46.87,70.15
98.88,3.05,31.02,41.33,59.52,53.07
55.39,5.72,34.18,53.13,54.16,55.1
79.25,8.25,36.48,46.45,87.89,78.1
51.89,4.18,57.23,87.13,69.79,67.98
73.92,6.78,82.96,46.75,86.95,77.17
67.84,3.21,87.73,83.45,64.26,76.34
98.32,1.98,45.91,63.14,35.84,49.98
76.51,8.15,67.33,44.4,60.11,71.05
60.97,1.89,79.94,88.76,83.43,75.26
46.85,3.44,48.77,74.78,42.62,53.95
49.07,8.7,56.59,54.15,35.93,61.1
53.52,4.12,64.06,93.68,51.41,62.84
55.06,9.76,38.77,42.72,55.28,63.61
91.04,9.82,31.69,52.11,49.91,68.13
73.67,3.41,39.93,85.12,38.79,56.24
71.4,1.37,70.75,82.56,46.3,59.07
46.89,7.35,34.79,57.36,74.35,65.85
91.61,5.06,42.33,43.72,55.09,60.05
83.37,1.91,51.96,91.48,71.12,65.2
44.06,7.37,35.06,58.82,64.86,63.85
82.47,1.28,42.46,51.74,65.69,56.68
72.61,8.83,89.23,70.96,46.16,78.53
44.9,2.25,31.25,94.61,63.9,56.34
67.5,2.15,72.47,42.61,31.53,48.14
69.08,2.58,54.99,85.95,58.06,64.65
49.95,9.64,73.72,74.35,67.22,79.58
96.74,7.24,68.26,65.53,41.83,74.82
91.0,8.21,44.53,84.64,46.68,74.86
80.14,4.58,85.07,97.95,44.27,73.41
67.74,4.03,61.98,53.75,34.59,56.19
64.71,3.11,83.46,48.62,52.61,57.32
79.06,5.33,56.39,94.77,93.63,84.55
72.73,5.97,94.0,80.14,53.0,77.42
43.74,6.69,80.08,66.28,59.93,68.67
70.75,3.31,92.79,74.4,72.45,74.98
88.38,9.54,63.43,84.74,72.15,88.95
67.55,2.53,60.79,86.38,91.74,73.06
43.12,9.69,79.1,95.19,85.74,93.0
87.18,1.13,87.22,65.61,81.61,69.81
52.08,5.33,92.67,57.6,91.86,79.29
55.52,4.0,51.1,78.38,45.0,57.46
49.88,5.04,81.92,64.94,70.11,69.26
59.81,6.14,43.69,75.68,87.67,75.5
85.41,4.92,65.46,65.2,70.57,72.0
71.16,4.73,41.69,49.18,93.53,65.79
52.29,7.59,52.58,68.17,36.52,58.32
92.67,7.17,90.54,81.46,58.56,85.37
92.77,8.5,39.5,87.96,93.53,86.28
92.23,3.25,71.11,69.6,54.67,67.06
54.33,6.49,68.54,49.91,78.07,71.6
67.07,6.27,37.85,64.88,31.98,55.14
99.1,4.33,51.19,87.18,75.16,79.83
86.32,5.37,66.59,64.77,90.75,80.23
41.63,3.82,42.17,81.79,54.88,58.56
43.91,2.28,82.04,70.43,31.38,52.76
67.84,2.92,93.19,54.47,31.81,56.09
94.55,1.95,43.96,87.77,87.98,71.76
72.32,7.15,42.15,45.05,76.96,72.17
69.87,6.95,59.57,71.49,36.93,67.32
46.33,9.56,78.6,52.53,33.55,71.04
79.41,7.57,48.3,44.02,82.31,74.44
89.33,1.47,31.29,70.18,82.64,60.41
62.83,8.96,65.18,69.97,37.83,69.32
86.54,8.76,92.18,82.41,49.6,82.3
97.87,4.99,55.43,84.69,80.7,80.92
52.23,6.27,57.31,83.67,64.15,69.78
71.4,9.78,92.98,64.57,92.18,88.21
57.23,5.79,75.15,77.9,61.27,76.98
87.57,9.15,76.75,74.62,74.0,87.34
74.66,1.75,66.58,65.29,63.14,59.74
78.07,2.72,93.35,75.83,91.29,83.08
87.87,4.97,74.78,96.83,55.91,74.28
63.76,6.26,88.18,51.57,44.94,68.92
94.91,8.35,75.46,94.35,51.23,83.27
71.98,9.89,77.78,43.21,85.43,82.7
49.48,4.5,48.88,58.5,62.37,62.27
81.75,1.43,49.73,57.29,53.03,55.0
87.6,8.21,80.89,77.58,65.38,86.81
59.01,6.44,49.29,47.87,38.66,56.72
91.43,2.79,66.58,92.94,30.35,62.9
94.37,5.45,46.21,89.71,48.24,66.97
56.61,7.68,83.1,79.12,69.33,81.16
99.01,7.93,37.18,67.5,76.26,76.63
48.44,5.5,83.91,95.98,83.73,79.34
52.12,3.75,69.18,89.84,90.23,76.89
51.05,9.76,42.15,69.96,56.79,73.83
93.64,6.97,65.23,82.11,78.13,83.61
79.26,4.67,48.36,74.02,34.85,58.07
49.13,3.52,51.03,75.28,33.74,49.28
66.42,7.58,52.85,59.86,38.11,62.9
76.92,3.18,34.12,67.73,59.16,59.13
45.01,2.55,94.09,44.69,43.73,55.58
92.94,5.77,32.05,61.44,48.65,62.75
88.22,3.61,73.06,81.75,72.11,73.62
70.31,6.66,54.13,97.19,53.3,72.15
98.03,2.06,71.99,97.78,66.23,75.27
65.07,6.89,53.16,73.34,56.81,70.95
99.05,3.55,73.79,76.4,40.98,65.72
80.08,1.0,77.4,51.14,34.81,49.81
78.08,2.14,74.89,81.72,45.36,64.33
49.96,9.4,37.41,44.24,33.75,56.73
92.92,8.81,72.7,57.08,70.21,84.47
65.65,3.1,48.2,80.1,81.72,67.5
49.73,8.01,31.87,58.62,52.08,59.11
40.76,6.48,56.96,42.99,55.16,62.08
73.59,9.74,58.18,89.91,83.05,90.16
71.64,4.36,60.37,58.62,44.47,57.36
83.16,7.13,75.81,43.79,37.75,62.76
93.42,1.57,50.07,44.49,62.57,53.04
44.76,4.57,50.49,55.11,72.0,60.11
83.89,9.67,33.94,50.68,68.98,78.23
51.24,5.85,74.64,86.46,76.4,76.28
91.49,3.59,66.91,59.3,33.69,60.94
